Name,Graduate,Longterm,Visiting,Institution,Prize Type,Year Awarded
[PM] Paul Greengard (Professor) - 2000,0,1,0,Yale,,
[Ec.] Bengt Holmstrom (Professor) - 2016,0,1,0,Yale,,
[Ec.] Christopher Sims (Professor) - 2011,0,1,0,Yale,,
[Ec.] Gérard Debreu (Associate Professor) - 1983,0,1,0,Yale,,
[Ec.] James Tobin (Professor) - 1981*,0,1,0,Yale,,
[Ec.] Joseph Stiglitz (Professor) - 2001,0,1,0,Yale,,
[Ec.] Oliver E. Williamson (Professor) - 2009,0,1,0,Yale,,
[Ec.] Paul R. Krugman (Assistant Professor) - 2008,0,1,0,Yale,,
[Ec.] Thomas Schelling (Professor) - 2005,0,1,0,Yale,,
[Ec.] Tjalling Koopmans (Professor) - 1975*,0,1,0,Yale,,
[Ec.] Robert Shiller (Professor) - 2013*,0,1,0,Yale,,
[Ph.] Charles K. Kao (Adjunct Professor) - 2009,0,0,1,Yale,,
[Ch.] Aziz Sancar (Researcher) - 2015,0,0,1,Yale,,
[Ch.] Venkatraman Ramakrishnan (Postdoctoral Researcher) - 2009,0,0,1,Yale,,
[PM] Elizabeth Blackburn (Postdoctoral Researcher) - 2009,0,0,1,Yale,,
[PM] Erwin Neher (Postdoctoral Researcher) - 1991,0,0,1,Yale,,
[Ec.] Daniel L. McFadden (Visiting Professor) - 2000,0,0,1,Yale,,
[Ec.] Harry M. Markowitz (Researcher) - 1990,0,0,1,Yale,,
[Ec.] James Heckman (Visiting Professor) - 2000,0,0,1,Yale,,
[Ec.] John Harsanyi (Visitor) - 1994,0,0,1,Yale,,
[Ec.] Robert J. Aumann (Visiting Professor) - 2005,0,0,1,Yale,,
[Pe.] Philip Noel-Baker (Lecturer) - 1959,0,0,1,Yale,,
[Pe.] Wangari Maathai (Visitor) - 2004,0,0,1,Yale,,
[Ph.] Arthur H. Compton[82] (PhD) - 1927,1,0,0,Princeton,,
[Ph.] Clinton Davisson[82] (PhD) - 1937,1,0,0,Princeton,,
[Ph.] Frank Wilczek[82] (PhD) - 2004,1,0,0,Princeton,,
[Ph.] John Bardeen (PhD) - 1956,1,0,0,Princeton,,
[Ph.] John Bardeen (PhD) - 1972,1,0,0,Princeton,,
[Ph.] Richard P. Feynman[82] (PhD) - 1965,1,0,0,Princeton,,
[Ph.] Robert Hofstadter[82] (PhD) - 1961,1,0,0,Princeton,,
[Ph.] Steven Weinberg[82] (PhD) - 1979,1,0,0,Princeton,,
[Ch.] Edwin M. McMillan (PhD) - 1951,1,0,0,Princeton,,
[Ch.] Richard E. Smalley (PhD) - 1996,1,0,0,Princeton,,
[Ec.] A. Michael Spence (B.A) - 2001,1,0,0,Princeton,,
[Ec.] Gary S. Becker (B.A) - 1992,1,0,0,Princeton,,
[Ec.] James J. Heckman (PhD) - 2000,1,0,0,Princeton,,
[Ec.] John Forbes Nash[83] (PhD) - 1994,1,0,0,Princeton,,
[Ec.] Lloyd Shapley (PhD) - 2012,1,0,0,Princeton,,
[Ec.] Oliver Hart (PhD) - 2016,1,0,0,Princeton,,
[Pe.] Woodrow Wilson (B.A) - 1919,1,0,0,Princeton,,
[Li.] Eugene O'Neill (Attendee) - 1936,1,0,0,Princeton,,
[Ph.] Arthur B. McDonald (Professor) - 2015,0,1,0,Princeton,,
[Ph.] Daniel C. Tsui[82] (Professor) - 1998*,0,1,0,Princeton,,
[Ph.] David Gross (Professor) - 2004,0,1,0,Princeton,,
[Ph.] Duncan Haldane (Professor) - 2016*,0,1,0,Princeton,,
[Ph.] Eugene P. Wigner (Professor) - 1963*,0,1,0,Princeton,,
[Ph.] James W. Cronin (Professor) - 1980,0,1,0,Princeton,,
[Ph.] Joseph H. Taylor (Professor) - 1993*,0,1,0,Princeton,,
[Ph.] Philip W. Anderson (Professor) - 1977,0,1,0,Princeton,,
[Ph.] Russell Hulse (Professor) - 1993*,0,1,0,Princeton,,
[Ph.] Val L. Fitch (Professor) - 1980*,0,1,0,Princeton,,
[PM] Eric F. Wieschaus (Professor) - 1995,0,1,0,Princeton,,
[PM] James E. Rothman (Professor) - 2013,0,1,0,Princeton,,
[Ec.] Angus Deaton (Professor) - 2015*,0,1,0,Princeton,,
[Ec.] Christopher Sims (Professor) - 2011*,0,1,0,Princeton,,
[Ec.] Daniel Kahneman (Professor) - 2002*,0,1,0,Princeton,,
[Ec.] John Forbes Nash (Professor) - 1994*,0,1,0,Princeton,,
[Ec.] Paul R. Krugman (Professor) - 2008*,0,1,0,Princeton,,
[Ec.] Sir William Arthur Lewis (Professor) - 1979*,0,1,0,Princeton,,
[Pe.] Woodrow Wilson[84] (Professor) - 1919,0,1,0,Princeton,,
[Li.] Toni Morrison (Professor) - 1993,0,1,0,Princeton,,
[Ph.] Arno A. Penzias (Visiting Professor) - 1978,0,0,1,Princeton,,
[Ch.] Osamu Shimomura (Researcher) - 2008,0,0,1,Princeton,,
[Ch.] Tomas Lindahl (Postdoctoral Researcher) - 2015,0,0,1,Princeton,,
[Ec.] Eric S. Maskin (Visiting Professor) - 2007,0,0,1,Princeton,,
[Ec.] Thomas J. Sargent (Visiting Professor) - 2011,0,0,1,Princeton,,
[Li.] Mario Vargas Llosa (Visiting Professor) -2010,0,0,1,Princeton,,
[PM] Craig C. Mello (B.S) - 2006,1,0,0,Brown,,
[Ph.] Leon Neil Cooper (Professor) - 1972*,0,1,0,Brown,,
[Ph.] John M. Kosterlitz (Professor) - 2016*,0,1,0,Brown,,
[Ec.] Vernon L. Smith (Professor) - 2002,0,1,0,Brown,,
[Ch.] Lars Onsager (Instructor) - 1968,0,0,1,Brown,,
[PM] George Davis Snell (Lecturer) - 1980,0,0,1,Brown,,
[Ec.] George Stigler (Visitor) - 1982,0,0,1,Brown,,
[Ph.] Owen Chamberlain (B.A) - 1959,1,0,0,Dartmouth,,
[Ch.] K. Barry Sharpless (B.A) - 2001,1,0,0,Dartmouth,,
[PM] George Davis Snell (B.A) - 1980,1,0,0,Dartmouth,,
